speed_kmh,ncrit,cg_case,static_margin_percent,alpha_deg,cl,cm_cg,cm_root_c4,cm_section,cd_profile,local_cl_min,local_cl_max,trim_deg,control_extrapolated,status
45.0,6,aft,5.777355623100304,10.421450952564628,0.58230461587842,0.0,0.2298183413779431,0.046834860080463114,0.013922582870995046,0.0709369482215523,0.6558387599622348,-12.534524050542135,True,SCREEN
45.0,6,nominal,8.0,12.125647293651818,0.5823046158784202,-3.469446951953614e-18,0.24276090217919222,0.06854763320186656,0.014866784630435389,0.07437471983888817,0.6663006440740414,-18.04560362613142,True,SCREEN
45.0,6,forward,10.222644376899696,nan,0.5823046158784195,nan,nan,nan,nan,nan,nan,nan,False,FAIL
45.0,10,aft,5.777355623100304,9.847736359838603,0.5823046158784194,0.0,0.22981834137794283,0.046257715738191686,0.014534367024821103,0.06802716200639551,0.6437748581763961,-12.799946116557672,True,SCREEN
45.0,10,nominal,8.0,11.25928172546947,0.5823046158784194,0.0,0.2427609021791919,0.06747973951232895,0.015535091462136011,0.07012551773364491,0.6487890535411863,-18.27111511208159,True,SCREEN
45.0,10,forward,10.222644376899696,nan,0.5823046158784195,nan,nan,nan,nan,nan,nan,nan,False,FAIL
95.0,6,aft,5.777355623100304,-0.20856739128404184,0.13065560633283094,0.0,0.05156588823161598,-0.0032231272762580834,0.007685481704563968,0.0190956995232157,0.19775710669570382,1.8788129475209288,False,PASS
95.0,6,nominal,8.0,0.10053294866162549,0.13065560633283094,0.0,0.05446989771887685,0.0013311391908031643,0.007585623550030609,0.019680244465607257,0.18584142730968023,0.9960413094965219,False,PASS
95.0,6,forward,10.222644376899696,0.4096332886072928,0.13065560633283094,0.0,0.05737390720613772,0.005885405657864412,0.007485765395497251,0.02026478940799881,0.17392574792365664,0.11326967147211528,False,PASS
95.0,10,aft,5.777355623100304,0.04082219511479962,0.13065560633283094,0.0,0.05156588823161598,-0.0019276320286524557,0.0076170702881082865,0.01902057015375909,0.18851756777061465,1.0974983226670005,False,PASS
95.0,10,nominal,8.0,0.41612038287263114,0.13065560633283094,0.0,0.05446989771887685,0.003013108701703145,0.007476884541186844,0.020232652699098415,0.17370607350535117,0.08913315505526814,False,PASS
95.0,10,forward,10.222644376899696,0.6849110491238348,0.13065560633283094,0.0,0.05737390720613772,0.0072775176689785954,0.007583920306028542,0.020841118329877034,0.17101404230354558,-0.7104253796074396,False,PASS
105.0,6,aft,5.777355623100304,-0.709063270650584,0.1069539090388934,0.0,0.042211532089826254,-0.0055819410635975205,0.007566661511259543,0.007038454067749328,0.18182996984703556,2.408882000949619,False,PASS
105.0,6,nominal,8.0,-0.46368752406228064,0.1069539090388934,8.673617379884035e-19,0.044588737134953635,-0.0018950353004136044,0.007482332500665017,0.01027417450253719,0.17245275687131362,1.7039097073686822,False,PASS
105.0,6,forward,10.222644376899696,-0.21831177747397795,0.1069539090388934,0.0,0.04696594218008101,0.0017918704627703013,0.00739800349007049,0.01350989493732504,0.16307554389559167,0.9989374137877474,False,PASS
105.0,10,aft,5.777355623100304,-0.5726486989170642,0.10695390903889336,0.0,0.04221153208982624,-0.004893018554981388,0.007419331952768424,0.007639265289343751,0.17705244453428587,1.8975652673055379,False,PASS
105.0,10,nominal,8.0,-0.2774110760754833,0.10695390903889337,0.0,0.04458873713495362,-0.0009234903032081746,0.007298140338741847,0.012036345524654152,0.16558650914470296,1.0995488056796758,False,PASS
105.0,10,forward,10.222644376899696,0.017826546766097046,0.10695390903889339,0.0,0.046965942180081,0.0030460379485650318,0.00717694872471527,0.016433425759964544,0.1541205737551201,0.3015323440538153,False,PASS
