speed_kmh,ncrit,cg_case,static_margin_percent,alpha_deg,cl,cm_cg,cm_root_c4,cm_section,cd_profile,local_cl_min,local_cl_max,trim_deg,control_extrapolated,status
45.0,6,aft,2.777355623100304,5.786760938866749,0.5823046158784194,0.0,0.21234920290159026,0.005472302511480015,0.012035766574480074,0.06161393806145413,0.6601633935980525,2.2975511532792687,False,PASS
45.0,6,nominal,5.0,7.217389331948348,0.5823046158784194,0.0,0.2252917637028393,0.02572403273838527,0.012876674125246387,0.06454824295695281,0.6359014815924355,-2.17750327179788,False,PASS
45.0,6,forward,7.222644376899696,8.451127417156485,0.5823046158784194,0.0,0.2382343245040884,0.044840634164969397,0.0138824554912369,0.06717404508793359,0.6429834709907303,-6.175218107679298,True,SCREEN
45.0,10,aft,2.777355623100304,6.08153604699773,0.5823046158784194,0.0,0.2123492029015903,0.007173376698341423,0.012563864185145485,0.062081256341336155,0.6489929790694037,1.6843386013330133,False,PASS
45.0,10,nominal,5.0,7.4739068708814695,0.5823046158784195,0.0,0.22529176370283935,0.027567032749621283,0.013749557869974244,0.06469185337861294,0.6339191749584625,-3.708141914753976,False,PASS
45.0,10,forward,7.222644376899696,9.089848934356569,0.5823046158784199,1.734723475976807e-18,0.23823432450408857,0.049569685911002026,0.015398748981391803,0.06743089539235173,0.6371826004256135,-10.161585418239182,True,SCREEN
60.0,6,aft,2.777355623100304,0.5229053861748345,0.32754634643161085,0.0,0.1194464266321445,-0.011210725113042129,0.008946320815619056,0.03372387989692178,0.46678031479068605,7.626744504530213,True,SCREEN
60.0,6,nominal,5.0,1.5036822313358893,0.32754634643161085,0.0,0.12672661708284708,0.0011059157654657314,0.009211759698651024,0.03572214922765232,0.4293983102622072,4.731849122292545,False,PASS
60.0,6,forward,7.222644376899696,2.484459076496948,0.32754634643161085,0.0,0.13400680753354968,0.013422556643973637,0.009477198581682993,0.03772041855838287,0.3920163057337282,1.8369537400548654,False,PASS
60.0,10,aft,2.777355623100304,1.4024653500326567,0.32754634643161085,1.734723475976807e-18,0.1194464266321445,-0.006992600891663377,0.009734509591951527,0.035767726833607974,0.43432141275520403,5.4848355890398,True,SCREEN
60.0,10,nominal,5.0,2.2560710091442866,0.32754634643161085,8.673617379884035e-19,0.12672661708284708,0.004820526523580991,0.009946738700537841,0.03738078114185873,0.4012529764100437,2.7378056008233864,False,PASS
60.0,10,forward,7.222644376899696,3.109657851134366,0.32754634643161085,0.0,0.13400680753354968,0.01663341950752427,0.010161364441399789,0.03899391062338362,0.36828176696644016,-0.010860734947802264,False,PASS
75.0,6,aft,2.777355623100304,-1.8897678372451139,0.209629661716231,0.0,0.07644571304457251,-0.018782896962919175,0.00800595838882903,0.020834945494704847,0.3778203156226182,9.918167898857511,True,SCREEN
75.0,6,nominal,5.0,-1.3050027303498994,0.209629661716231,0.0,0.08110503493302215,-0.011129500704274993,0.00809310735300088,0.022034513783015873,0.35579214297541434,8.214853578721034,True,SCREEN
75.0,6,forward,7.222644376899696,-0.7202376234546797,0.209629661716231,0.0,0.08576435682147183,-0.0034761044456307483,0.008180256317172731,0.023234082071326913,0.33376397032821026,6.5115392585845395,True,SCREEN
75.0,10,aft,2.777355623100304,-1.4950680535413905,0.20962966171623107,0.0,0.07644571304457251,-0.017499467816693107,0.008158005515218896,0.022231017062800774,0.36821354167055237,9.103255530463535,True,SCREEN
75.0,10,nominal,5.0,-0.8879759588239227,0.20962966171623104,0.0,0.08110503493302217,-0.009583024887647978,0.00832582325918664,0.023358126860465962,0.3442831930725959,7.267392065386856,True,SCREEN
75.0,10,forward,7.222644376899696,-0.2808838641064526,0.20962966171623104,0.0,0.08576435682147185,-0.001666581958602819,0.008493641003154386,0.024485236658131154,0.3203528444746394,5.431528600310171,True,SCREEN
95.0,6,aft,2.777355623100304,-3.103625560587008,0.13065560633283105,0.0,0.0476462200416311,-0.021975353334350387,0.007653152666989757,0.013159013113617783,0.3038829041508375,10.251842290178883,True,SCREEN
