source,candidate,station,y_mm,chord_mm,reflex_deg,twist_deg,hinge_xc,te_thickness_mm,hinge_gap_mm,speed_kmh,reynolds,ncrit,deflection_deg_te_down_positive,alpha_deg,cl,cd,cm_c4
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,-4.500000,-0.4948000,0.0149400,0.0209000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,-4.000000,-0.4433000,0.0138800,0.0214000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,-3.500000,-0.3907000,0.0131700,0.0220000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,-3.000000,-0.3380000,0.0125600,0.0227000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,-2.500000,-0.2854000,0.0119300,0.0235000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,-2.000000,-0.2343000,0.0111900,0.0248000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,-1.500000,-0.1870000,0.0105500,0.0281000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,-1.000000,-0.1293000,0.0104800,0.0291000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,-0.500000,-0.0612000,0.0105100,0.0277000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,-0.000000,0.0137000,0.0105600,0.0246000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,0.500000,0.0924000,0.0106200,0.0203000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,1.000000,0.1752000,0.0106300,0.0149000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,1.500000,0.2347000,0.0105800,0.0139000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,2.000000,0.2872000,0.0106000,0.0144000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,2.500000,0.3396000,0.0106900,0.0149000
xfoil,r2a-sm5,mid,325.000,216.923,2.750,3.000,0.7200,0.450,0.000,45.0,181000,6,0.0,3.000000,0.3921000,0.0108700,0.0154000
