salamandra-tip-r1.dat
 0.99943560 -0.00000000
 0.99609606 -0.00013461
 0.98600672 -0.00033522
 0.96927580 -0.00011033
 0.94635212  0.00087254
 0.91770509  0.00277228
 0.88393415  0.00575153
 0.84580918  0.00984115
 0.80407076  0.01488330
 0.75943959  0.02068328
 0.71280783  0.02701066
 0.66452222  0.03384325
 0.61524531  0.04042317
 0.56538548  0.04643757
 0.51532160  0.05166046
 0.46541313  0.05598889
 0.41608976  0.05935809
 0.36782140  0.06175242
 0.32107774  0.06310985
 0.27631856  0.06338456
 0.23395363  0.06253141
 0.19433282  0.06052445
 0.15775625  0.05738543
 0.12450426  0.05318219
 0.09482740  0.04801738
 0.06895616  0.04199074
 0.04705111  0.03520855
 0.02916311  0.02784213
 0.01536377  0.02020349
 0.00568482  0.01262991
 0.00025920  0.00569518
 0.00000000  0.00000000
 0.00568875 -0.00415962
 0.01692568 -0.00869040
 0.03317365 -0.01302920
 0.05418364 -0.01698577
 0.07972644 -0.02040817
 0.10961281 -0.02314346
 0.14365307 -0.02512957
 0.18160735 -0.02634285
 0.22319533 -0.02684380
 0.26803652 -0.02672757
 0.31568044 -0.02608535
 0.36561663 -0.02500593
 0.41731462 -0.02357955
 0.47020376 -0.02193137
 0.52365350 -0.02016759
 0.57702345 -0.01836404
 0.62965328 -0.01658178
 0.68090270 -0.01487417
 0.73030118 -0.01314813
 0.77690446 -0.01119705
 0.82031817 -0.00936941
 0.86000235 -0.00768333
 0.89546704 -0.00614276
 0.92626218 -0.00473765
 0.95199773 -0.00345611
 0.97234370 -0.00229907
 0.98710984 -0.00120127
 0.99625677 -0.00032940
 0.99943560 -0.00000000
