mh60-135.dat
 1.00000000  0.00000000
 0.99666000 -0.00006999
 0.98657000 -0.00004927
 0.96984000  0.00059046
 0.94692000  0.00221824
 0.91828000  0.00504474
 0.88452000  0.00927020
 0.84641000  0.01493070
 0.80469000  0.02182606
 0.76008000  0.02970592
 0.71329000  0.03820118
 0.66497000  0.04689613
 0.61566000  0.05528214
 0.56577000  0.06296803
 0.51568000  0.06966316
 0.46575000  0.07522919
 0.41641000  0.07957254
 0.36813000  0.08265171
 0.32138000  0.08436367
 0.27662000  0.08463766
 0.23426000  0.08340161
 0.19465000  0.08060685
 0.15809000  0.07626303
 0.12486000  0.07044239
 0.09521000  0.06327423
 0.06937000  0.05489742
 0.04750000  0.04547289
 0.02965000  0.03524926
 0.01589000  0.02465425
 0.00625000  0.01416139
 0.00086000  0.00440991
 0.00063000 -0.00268000
 0.00634000 -0.01102835
 0.01760000 -0.01874717
 0.03387000 -0.02619682
 0.05490000 -0.03301689
 0.08046000 -0.03893447
 0.11036000 -0.04372225
 0.14441000 -0.04728194
 0.18237000 -0.04955947
 0.22396000 -0.05060869
 0.26880000 -0.05053878
 0.31644000 -0.04947043
 0.36637000 -0.04753094
 0.41806000 -0.04484269
 0.47094000 -0.04158356
 0.52438000 -0.03790711
 0.57774000 -0.03393795
 0.63036000 -0.02980553
 0.68160000 -0.02566407
 0.73082000 -0.02162464
 0.77743000 -0.01780795
 0.82085000 -0.01430394
 0.86054000 -0.01118655
 0.89601000 -0.00849058
 0.92681000 -0.00621136
 0.95255000 -0.00430759
 0.97290000 -0.00273829
 0.98767000 -0.00137878
 0.99682000 -0.00036829
 1.00000000  0.00000000
