e205-9.dat
 1.00000000  0.00000000
 0.99655000  0.00036040
 0.98649000  0.00159222
 0.97049000  0.00388195
 0.94916000  0.00705594
 0.92285000  0.01085160
 0.89175000  0.01515685
 0.85624000  0.02001127
 0.81684000  0.02538082
 0.77412000  0.03117187
 0.72866000  0.03729096
 0.68108000  0.04359012
 0.63204000  0.04992211
 0.58218000  0.05610250
 0.53217000  0.06189199
 0.48265000  0.06698673
 0.43410000  0.07099887
 0.38680000  0.07365194
 0.34101000  0.07480013
 0.29699000  0.07438155
 0.25496000  0.07240080
 0.21508000  0.06898454
 0.17764000  0.06437734
 0.14302000  0.05878838
 0.11157000  0.05238040
 0.08360000  0.04531495
 0.05937000  0.03775255
 0.03909000  0.02988044
 0.02292000  0.02190157
 0.01097000  0.01406541
 0.00331000  0.00672290
 0.00002000  0.00055000
 0.00233000 -0.00431230
 0.01065000 -0.00808686
 0.02419000 -0.01141408
 0.04291000 -0.01403404
 0.06669000 -0.01593580
 0.09534000 -0.01714922
 0.12864000 -0.01773844
 0.16627000 -0.01776704
 0.20783000 -0.01733636
 0.25290000 -0.01655128
 0.30097000 -0.01553456
 0.35149000 -0.01437974
 0.40388000 -0.01316112
 0.45751000 -0.01193938
 0.51174000 -0.01075304
 0.56591000 -0.00961011
 0.61938000 -0.00852261
 0.67149000 -0.00750336
 0.72160000 -0.00655346
 0.76911000 -0.00567903
 0.81343000 -0.00487772
 0.85400000 -0.00413265
 0.89034000 -0.00342830
 0.92195000 -0.00267892
 0.94860000 -0.00178734
 0.97017000 -0.00085700
 0.98635000 -0.00021034
 0.99651000 -0.00000000
 1.00000000  0.00000000
