salamandra-r1-y130.dat
 0.99947417  0.00000000
 0.99613499 -0.00010930
 0.98604550 -0.00021254
 0.96931122  0.00021207
 0.94637900  0.00152982
 0.91771711  0.00394474
 0.88392386  0.00765432
 0.84576893  0.01269967
 0.80399394  0.01889492
 0.75932095  0.02600653
 0.71291720  0.03379279
 0.66465700  0.04240849
 0.61540472  0.05073248
 0.56556768  0.05838676
 0.51552390  0.06509128
 0.46563246  0.07071262
 0.41632272  0.07516033
 0.36806442  0.07839523
 0.32132688  0.08031963
 0.27656962  0.08086496
 0.23420216  0.07996205
 0.19457419  0.07756465
 0.15798578  0.07368300
 0.12471744  0.06838676
 0.09502004  0.06179841
 0.06912450  0.05404759
 0.04719188  0.04528335
 0.02927383  0.03573859
 0.01544323  0.02581746
 0.00573322  0.01596611
 0.00027824  0.00680987
 0.00000000  0.00000000
 0.00565670 -0.00754642
 0.01686635 -0.01469677
 0.03308770 -0.02162372
 0.05407308 -0.02799934
 0.07959425 -0.03357346
 0.10946271 -0.03813251
 0.14348912 -0.04158425
 0.18143382 -0.04387925
 0.22301643 -0.04507097
 0.26785619 -0.04526351
 0.31550230 -0.04456892
 0.36544393 -0.04310373
 0.41715026 -0.04098068
 0.47005012 -0.03836367
 0.52351250 -0.03539299
 0.57689659 -0.03217961
 0.62954160 -0.02883535
 0.68080657 -0.02549039
 0.73047440 -0.02205971
 0.77705325 -0.01824712
 0.82044458 -0.01473464
 0.86010893 -0.01158933
 0.89555657 -0.00884370
 0.92633747 -0.00649557
 0.95206132 -0.00451259
 0.97239787 -0.00286476
 0.98715614 -0.00144077
 0.99629738 -0.00038565
 0.99947417  0.00000000
